City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Araguacu,BR,-12.9306,-49.8264,82.26,72,100,5.73,overcast clouds,2021-11-06 17:34:24
1,Klaksvik,FO,62.2266,-6.589,49.12,98,100,19.62,overcast clouds,2021-11-06 17:34:25
2,Nabire,ID,-3.3667,135.4833,75.88,90,100,1.77,overcast clouds,2021-11-06 17:34:26
3,Ust-Nera,RU,64.5667,143.2,-16.85,94,27,5.08,scattered clouds,2021-11-06 17:34:26
4,Visby,SE,57.6409,18.296,49.86,81,20,9.22,few clouds,2021-11-06 17:34:27
5,Voh,NC,-20.9667,164.7,65.77,83,54,2.33,broken clouds,2021-11-06 17:34:28
6,Vilhena,BR,-12.7406,-60.1458,77.22,78,75,11.5,broken clouds,2021-11-06 17:34:28
7,Tiksi,RU,71.6872,128.8694,-4.59,94,71,13.06,broken clouds,2021-11-06 17:34:28
8,Kapaa,US,22.0752,-159.319,75.52,81,20,13.8,few clouds,2021-11-06 17:34:29
9,East London,ZA,-33.0153,27.9116,67.14,77,20,9.22,few clouds,2021-11-06 17:34:29
10,Aras,ES,42.5617,-2.356,43.32,74,15,8.84,few clouds,2021-11-06 17:34:30
11,Lakshmeshwar,IN,15.1333,75.4667,73.69,69,59,5.14,broken clouds,2021-11-06 17:34:30
12,Likasi,CD,-10.9814,26.7333,74.8,30,57,1.59,broken clouds,2021-11-06 17:34:30
13,Rikitea,PF,-23.1203,-134.9692,75.27,82,100,16.22,overcast clouds,2021-11-06 17:34:31
14,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,46,8.14,scattered clouds,2021-11-06 17:34:31
15,Svetlyy,RU,54.675,20.1347,50.05,85,100,20.69,overcast clouds,2021-11-06 17:34:32
16,Emerald,AU,-23.5333,148.1667,73.54,73,63,9.22,broken clouds,2021-11-06 17:34:32
17,Medea,DZ,36.2642,2.7539,45.05,90,99,5.03,overcast clouds,2021-11-06 17:34:33
18,Haines Junction,CA,60.7522,-137.5108,19.35,93,100,0.0,overcast clouds,2021-11-06 17:34:33
19,San Policarpo,PH,12.1791,125.5072,81.57,84,100,13.8,overcast clouds,2021-11-06 17:34:34
20,Punta Arenas,CL,-53.15,-70.9167,53.71,62,90,14.97,light intensity shower rain,2021-11-06 17:32:51
21,Ushuaia,AR,-54.8,-68.3,47.86,53,75,14.97,broken clouds,2021-11-06 17:34:34
22,Georgetown,MY,5.4112,100.3354,80.53,92,40,5.01,light rain,2021-11-06 17:34:35
23,Port Macquarie,AU,-31.4333,152.9167,60.76,92,94,9.82,overcast clouds,2021-11-06 17:34:35
24,Baiyin,CN,36.5583,104.2081,16.68,40,98,2.75,overcast clouds,2021-11-06 17:34:35
25,Musiri,IN,10.9333,78.45,82.44,94,100,5.91,overcast clouds,2021-11-06 17:34:36
26,Hailin,CN,44.5833,129.4167,28.4,81,100,5.06,snow,2021-11-06 17:34:37
27,Atuona,PF,-9.8,-139.0333,77.95,77,36,18.34,light rain,2021-11-06 17:34:37
28,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,79,90,18.41,overcast clouds,2021-11-06 17:34:38
29,Santa Rosa Del Sur,CO,7.9644,-74.0544,81.09,68,89,0.87,overcast clouds,2021-11-06 17:34:38
30,Chokurdakh,RU,70.6333,147.9167,5.36,96,100,8.46,light snow,2021-11-06 17:34:38
31,Polovinnoye,RU,54.7914,65.9864,31.01,53,96,16.82,overcast clouds,2021-11-06 17:34:39
32,Havelock,US,34.8791,-76.9013,64.38,83,90,7.0,overcast clouds,2021-11-06 17:31:49
33,Palmas,BR,-10.2128,-48.3603,84.07,70,75,8.05,broken clouds,2021-11-06 17:34:40
34,Sakakah,SA,29.9697,40.2064,72.97,30,0,8.61,clear sky,2021-11-06 17:34:40
35,Qaanaaq,GL,77.484,-69.3632,7.52,72,99,7.74,overcast clouds,2021-11-06 17:34:41
36,Constitucion,CL,-35.3333,-72.4167,60.3,60,38,6.8,scattered clouds,2021-11-06 17:31:25
37,Mataura,NZ,-46.1927,168.8643,50.49,95,71,0.58,broken clouds,2021-11-06 17:34:41
38,Nouadhibou,MR,20.931,-17.0347,75.18,53,0,16.11,clear sky,2021-11-06 17:34:42
39,Bogorodskoye,RU,56.55,37.8833,42.48,80,67,15.21,broken clouds,2021-11-06 17:34:42
40,Anakapalle,IN,17.6833,83.0167,78.75,84,100,4.05,overcast clouds,2021-11-06 17:34:43
41,San Patricio,US,28.017,-97.5169,70.21,44,0,5.26,clear sky,2021-11-06 17:34:43
42,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,20.71,clear sky,2021-11-06 17:34:43
43,Thunder Bay,CA,48.4001,-89.3168,52.29,83,90,5.75,overcast clouds,2021-11-06 17:33:58
44,Yerbogachen,RU,61.2767,108.0108,14.31,95,97,6.33,overcast clouds,2021-11-06 17:34:44
45,Jiayuguan,CN,39.8167,98.3,8.92,48,0,6.51,clear sky,2021-11-06 17:34:45
46,Ratnapura,LK,6.6828,80.3992,75.02,95,98,2.46,light rain,2021-11-06 17:34:45
47,Provideniya,RU,64.3833,-173.3,8.51,82,9,6.2,clear sky,2021-11-06 17:34:45
48,Nanortalik,GL,60.1432,-45.2371,33.55,80,100,8.93,overcast clouds,2021-11-06 17:34:46
49,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,60,20,12.66,few clouds,2021-11-06 17:34:46
50,Albany,US,42.6001,-73.9662,51.67,52,13,1.01,few clouds,2021-11-06 17:34:47
51,Maniitsoq,GL,65.4167,-52.9,28.11,69,99,11.07,overcast clouds,2021-11-06 17:34:47
52,New Norfolk,AU,-42.7826,147.0587,53.1,60,80,3.0,broken clouds,2021-11-06 17:34:48
53,Hilo,US,19.7297,-155.09,80.28,75,1,8.05,clear sky,2021-11-06 17:33:44
54,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,40,11.5,scattered clouds,2021-11-06 17:34:48
55,Kiunga,PG,-6.1219,141.2906,73.38,99,100,1.95,overcast clouds,2021-11-06 17:34:49
56,Bergen,NO,60.392,5.328,48.65,90,75,13.8,light rain,2021-11-06 17:34:49
57,Hofn,IS,64.2539,-15.2082,39.11,81,100,14.7,light rain,2021-11-06 17:34:49
58,Ahipara,NZ,-35.1667,173.1667,56.73,94,11,2.73,few clouds,2021-11-06 17:34:50
59,Kodiak,US,57.79,-152.4072,33.31,60,40,11.5,scattered clouds,2021-11-06 17:33:58
60,Port Alfred,ZA,-33.5906,26.891,63.12,83,100,4.32,light rain,2021-11-06 17:34:50
61,Odweyne,SO,9.4092,45.064,72.77,48,47,9.46,scattered clouds,2021-11-06 17:34:51
62,Gondanglegi,ID,-7.7479,112.0132,77.77,88,99,1.99,overcast clouds,2021-11-06 17:34:51
63,Belmonte,BR,-15.8631,-38.8828,82.4,84,75,9.31,broken clouds,2021-11-06 17:34:52
64,Shenzhen,CN,22.5455,114.0683,79.21,93,19,2.42,few clouds,2021-11-06 17:31:47
65,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,22,5.75,few clouds,2021-11-06 17:34:53
66,Luderitz,NA,-26.6481,15.1594,63.07,67,99,25.97,overcast clouds,2021-11-06 17:34:53
67,Chuy,UY,-33.6971,-53.4616,66.09,54,97,13.78,overcast clouds,2021-11-06 17:34:53
68,Busselton,AU,-33.65,115.3333,46.09,84,0,9.46,clear sky,2021-11-06 17:34:54
69,Saint-Georges,GD,12.0564,-61.7485,87.48,62,20,23.02,few clouds,2021-11-06 17:34:54
70,Uvalde,US,29.3669,-99.767,67.19,45,1,3.44,clear sky,2021-11-06 17:34:55
71,Vao,NC,-22.6667,167.4833,67.35,63,12,6.62,few clouds,2021-11-06 17:34:55
72,Beloha,MG,-25.1667,45.05,69.26,70,95,16.73,overcast clouds,2021-11-06 17:34:56
73,Butaritari,KI,3.0707,172.7902,81.86,72,100,15.73,overcast clouds,2021-11-06 17:34:56
74,Coxim,BR,-18.5067,-54.76,87.03,55,79,9.93,light rain,2021-11-06 17:34:56
75,Birjand,IR,32.8663,59.2211,46.87,76,40,4.61,scattered clouds,2021-11-06 17:34:57
76,Cape Town,ZA,-33.9258,18.4232,63.27,61,20,1.99,few clouds,2021-11-06 17:30:24
77,Bredasdorp,ZA,-34.5322,20.0403,61.92,51,95,8.05,overcast clouds,2021-11-06 17:34:57
78,Ferme-Neuve,CA,46.7001,-75.4493,49.78,60,22,9.89,few clouds,2021-11-06 17:34:58
79,La Ronge,CA,55.1001,-105.2842,39.45,87,90,5.75,light intensity drizzle,2021-11-06 17:30:52
80,Fort Nelson,CA,58.8053,-122.7002,31.59,93,90,3.44,snow,2021-11-06 17:30:01
81,Kalabo,ZM,-14.97,22.6814,87.24,24,80,5.01,broken clouds,2021-11-06 17:34:14
82,Hermanus,ZA,-34.4187,19.2345,60.91,66,52,6.46,broken clouds,2021-11-06 17:34:59
83,Saskylakh,RU,71.9167,114.0833,7.45,90,100,14.27,overcast clouds,2021-11-06 17:34:59
84,Blagoyevo,RU,63.3667,47.9167,38.88,92,100,7.72,overcast clouds,2021-11-06 17:35:00
85,Puerto Ayora,EC,-0.7393,-90.3518,78.76,71,63,11.45,broken clouds,2021-11-06 17:35:00
86,Cherskiy,RU,68.75,161.3,2.12,84,77,10.22,broken clouds,2021-11-06 17:35:01
87,Halesowen,GB,52.4486,-2.0494,55.2,87,86,20.31,overcast clouds,2021-11-06 17:35:02
88,Jamestown,US,42.097,-79.2353,51.03,44,1,5.99,clear sky,2021-11-06 17:33:52
89,Ribeira Grande,PT,38.5167,-28.7,72.0,83,40,23.02,scattered clouds,2021-11-06 17:35:03
90,Pevek,RU,69.7008,170.3133,-6.11,90,82,8.1,broken clouds,2021-11-06 17:35:04
91,Aswan,EG,24.0934,32.907,84.22,22,0,10.58,clear sky,2021-11-06 17:35:05
92,Dingle,PH,10.9995,122.6711,76.98,92,99,5.82,heavy intensity rain,2021-11-06 17:35:05
93,San Juan Del Sur,NI,11.2529,-85.8705,86.22,66,40,6.91,scattered clouds,2021-11-06 17:35:06
94,Nacala,MZ,-14.5428,40.6728,75.04,88,6,3.94,clear sky,2021-11-06 17:35:06
95,Edgewater,US,28.9889,-80.9023,70.0,77,75,17.27,broken clouds,2021-11-06 17:35:07
96,Kailua,US,21.4022,-157.7394,77.74,76,20,9.22,few clouds,2021-11-06 17:35:07
97,Norman Wells,CA,65.282,-126.8329,24.84,93,75,2.3,broken clouds,2021-11-06 17:35:08
