City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Araguacu,BR,82.26,overcast clouds,-12.9306,-49.8264,Araguaçu
2,Nabire,ID,75.88,overcast clouds,-3.3667,135.4833,Nabire
6,Vilhena,BR,77.22,broken clouds,-12.7406,-60.1458,Vilhena
8,Kapaa,US,75.52,few clouds,22.0752,-159.319,Kapaʻa
13,Rikitea,PF,75.27,overcast clouds,-23.1203,-134.9692,Rikitea
19,San Policarpo,PH,81.57,overcast clouds,12.1791,125.5072,Oras
22,Georgetown,MY,80.53,light rain,5.4112,100.3354,George Town
25,Musiri,IN,82.44,overcast clouds,10.9333,78.45,Kulithalai
27,Atuona,PF,77.95,light rain,-9.8,-139.0333,Atuona
29,Santa Rosa Del Sur,CO,81.09,overcast clouds,7.9644,-74.0544,Santa Rosa del Sur
33,Palmas,BR,84.07,broken clouds,-10.2128,-48.3603,Palmas
38,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,Nouadhibou
40,Anakapalle,IN,78.75,overcast clouds,17.6833,83.0167,Anakapalle
46,Ratnapura,LK,75.02,light rain,6.6828,80.3992,Ratnapura
49,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Arraial do Cabo
53,Hilo,US,80.28,clear sky,19.7297,-155.09,Hilo
54,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Vieux Grand Port
62,Gondanglegi,ID,77.77,overcast clouds,-7.7479,112.0132,Kediri
63,Belmonte,BR,82.4,broken clouds,-15.8631,-38.8828,Belmonte
64,Shenzhen,CN,79.21,few clouds,22.5455,114.0683,Shenzhen
65,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,Nhulunbuy
69,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Saint George's
73,Butaritari,KI,81.86,overcast clouds,3.0707,172.7902,Ukiangang
74,Coxim,BR,87.03,light rain,-18.5067,-54.76,Coxim
81,Kalabo,ZM,87.24,broken clouds,-14.97,22.6814,Kalabo
85,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Puerto Ayora
91,Aswan,EG,84.22,clear sky,24.0934,32.907,Aswan
92,Dingle,PH,76.98,heavy intensity rain,10.9995,122.6711,Pototan
93,San Juan Del Sur,NI,86.22,scattered clouds,11.2529,-85.8705,San Juan del Sur
94,Nacala,MZ,75.04,clear sky,-14.5428,40.6728,Nacala
96,Kailua,US,77.74,few clouds,21.4022,-157.7394,Kaneohe
98,Salalah,OM,76.69,scattered clouds,17.0151,54.0924,Salalah
108,Kavieng,PG,83.12,broken clouds,-2.5744,150.7967,Kavieng
109,Trincomalee,LK,78.33,moderate rain,8.5711,81.2335,Trincomalee
110,The Valley,AI,87.66,few clouds,18.217,-63.0578,The Valley
112,Sola,VU,80.19,overcast clouds,-13.8833,167.55,Sola
118,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Teluk Ambon
124,Finschhafen,PG,78.03,few clouds,-6.6024,147.8681,Finschhafen
126,Atar,MR,88.03,clear sky,20.5169,-13.0499,Atar
